 YY XX    OLR1   U8501    OLR2   U8502    OLR3    U8503   OLR4   U8504
  5 17 -0.0326  0.0358  0.0207  0.0115 -0.0376  0.0897  0.0059 -0.0054
  5 18 -0.0335  0.0352  0.0229  0.0160 -0.0403  0.0929  0.0054 -0.0049
  5 19 -0.0344  0.0340  0.0233  0.0187 -0.0430  0.0913  0.0077 -0.0058
  5 20 -0.0335  0.0313  0.0227  0.0189 -0.0436  0.0847  0.0097 -0.0074
  5 21 -0.0322  0.0271  0.0190  0.0170 -0.0430  0.0742  0.0090 -0.0085
  5 22 -0.0290  0.0219  0.0166  0.0137 -0.0401  0.0608  0.0074 -0.0083
  5 23 -0.0256  0.0157  0.0170  0.0108 -0.0357  0.0467  0.0071 -0.0073
  5 24 -0.0217  0.0073  0.0164  0.0105 -0.0266  0.0344  0.0074 -0.0064
  5 25 -0.0140 -0.0025  0.0043  0.0136 -0.0227  0.0255  0.0059 -0.0056
  5 26 -0.0179 -0.0107  0.0001  0.0185 -0.0211  0.0201  0.0027 -0.0044
  5 27 -0.0227 -0.0137  0.0026  0.0220 -0.0214  0.0164  0.0016 -0.0030
  5 28 -0.0276 -0.0122  0.0063  0.0225 -0.0171  0.0132 -0.0009 -0.0023
  5 29 -0.0250 -0.0102  0.0049  0.0208 -0.0123  0.0102 -0.0021 -0.0029
  5 30 -0.0212 -0.0112 -0.0001  0.0186 -0.0124  0.0079 -0.0019 -0.0037
  5 31 -0.0132 -0.0147 -0.0114  0.0170 -0.0145  0.0060  0.0027 -0.0036
  5 32 -0.0181 -0.0183 -0.0094  0.0166 -0.0155  0.0038  0.0003 -0.0028
  5 33 -0.0149 -0.0210 -0.0098  0.0175 -0.0120  0.0011 -0.0007 -0.0031
  5 34 -0.0120 -0.0226 -0.0135  0.0198 -0.0101 -0.0020 -0.0009 -0.0054
  5 35 -0.0119 -0.0223 -0.0136  0.0225 -0.0113 -0.0053 -0.0045 -0.0084
  5 36 -0.0129 -0.0194 -0.0119  0.0244 -0.0103 -0.0097 -0.0093 -0.0102
  5 37 -0.0150 -0.0150 -0.0116  0.0254 -0.0134 -0.0155 -0.0087 -0.0097
  5 38 -0.0098 -0.0120 -0.0154  0.0259 -0.0068 -0.0221 -0.0036 -0.0075
  5 39 -0.0098 -0.0125 -0.0178  0.0263 -0.0040 -0.0278 -0.0045 -0.0043
  5 40 -0.0051 -0.0158 -0.0224  0.0262  0.0015 -0.0313 -0.0012 -0.0009
  5 41 -0.0019 -0.0197 -0.0244  0.0252  0.0057 -0.0320  0.0007  0.0023
  5 42 -0.0010 -0.0223 -0.0274  0.0232  0.0064 -0.0311  0.0005  0.0044
  5 43 -0.0007 -0.0229 -0.0309  0.0204  0.0074 -0.0301  0.0002  0.0048
  5 44  0.0007 -0.0217 -0.0298  0.0166  0.0103 -0.0303  0.0012  0.0038
  5 45  0.0021 -0.0199 -0.0272  0.0120  0.0100 -0.0320  0.0020  0.0021
  5 46  0.0041 -0.0185 -0.0238  0.0071  0.0105 -0.0345  0.0023  0.0009
  5 47  0.0045 -0.0178 -0.0213  0.0029  0.0112 -0.0363  0.0024  0.0006
  5 48  0.0048 -0.0167 -0.0191 -0.0004  0.0133 -0.0363  0.0021  0.0010
  5 49  0.0051 -0.0147 -0.0148 -0.0034  0.0144 -0.0349  0.0020  0.0015
  6  1 -0.0009  0.0030  0.0020  0.0024  0.0101  0.0037  0.0017  0.0025
  6  2 -0.0020  0.0038  0.0030  0.0044  0.0114  0.0083  0.0023  0.0045
  6  3 -0.0038  0.0060  0.0038  0.0068  0.0124  0.0154  0.0027  0.0076
  6  4 -0.0037  0.0082  0.0025  0.0084  0.0116  0.0230  0.0011  0.0107
  6  5 -0.0041  0.0100  0.0049  0.0084  0.0126  0.0295  0.0002  0.0126
  6  6 -0.0048  0.0115  0.0085  0.0078  0.0133  0.0345  0.0007  0.0128
  6  7 -0.0065  0.0128  0.0108  0.0077  0.0107  0.0377  0.0021  0.0122
  6  8 -0.0089  0.0140  0.0105  0.0085  0.0082  0.0397  0.0021  0.0114
  6  9 -0.0123  0.0153  0.0087  0.0094  0.0029  0.0417  0.0003  0.0105
  6 10 -0.0158  0.0171  0.0087  0.0099 -0.0028  0.0450 -0.0013  0.0091
  6 11 -0.0200  0.0194  0.0079  0.0098 -0.0084  0.0502 -0.0018  0.0072
  6 12 -0.0237  0.0217  0.0079  0.0098 -0.0163  0.0562 -0.0032  0.0054
  6 13 -0.0273  0.0236  0.0101  0.0097 -0.0259  0.0619 -0.0038  0.0044
  6 14 -0.0297  0.0247  0.0111  0.0099 -0.0317  0.0669 -0.0041  0.0050
  6 15 -0.0315  0.0244  0.0129  0.0114 -0.0355  0.0720 -0.0026  0.0067
  6 16 -0.0337  0.0226  0.0124  0.0149 -0.0399  0.0775 -0.0007  0.0091
  6 17 -0.0356  0.0204  0.0139  0.0198 -0.0439  0.0830  0.0019  0.0111
  6 18 -0.0374  0.0190  0.0150  0.0241 -0.0499  0.0869  0.0057  0.0117
  6 19 -0.0372  0.0187  0.0161  0.0262 -0.0548  0.0880  0.0069  0.0104
  6 20 -0.0363  0.0184  0.0160  0.0255 -0.0581  0.0846  0.0064  0.0075
  6 21 -0.0335  0.0167  0.0150  0.0225 -0.0585  0.0756  0.0086  0.0040
  6 22 -0.0300  0.0131  0.0132  0.0180 -0.0558  0.0613  0.0097  0.0007
  6 23 -0.0260  0.0071  0.0153  0.0138 -0.0386  0.0446  0.0089 -0.0022
  6 24 -0.0206 -0.0013  0.0131  0.0123 -0.0195  0.0300  0.0079 -0.0045
  6 25 -0.0141 -0.0107  0.0043  0.0146 -0.0207  0.0209  0.0064 -0.0053
  6 26 -0.0098 -0.0185 -0.0040  0.0195 -0.0249  0.0175  0.0045 -0.0041
  6 27 -0.0144 -0.0229 -0.0079  0.0243 -0.0312  0.0172  0.0033 -0.0019
  6 28 -0.0205 -0.0242 -0.0030  0.0271 -0.0265  0.0170  0.0013 -0.0010
  6 29 -0.0198 -0.0247 -0.0009  0.0273 -0.0229  0.0155  0.0044 -0.0029
  6 30 -0.0167 -0.0257  0.0008  0.0257 -0.0179  0.0127  0.0054 -0.0062
  6 31 -0.0010 -0.0267 -0.0149  0.0230 -0.0142  0.0088  0.0097 -0.0084
  6 32 -0.0055 -0.0276 -0.0202  0.0205 -0.0180  0.0045  0.0108 -0.0091
  6 33 -0.0073 -0.0295 -0.0227  0.0200 -0.0169  0.0002  0.0061 -0.0103
  6 34 -0.0093 -0.0321 -0.0260  0.0219 -0.0134 -0.0038  0.0036 -0.0140
  6 35 -0.0097 -0.0333 -0.0250  0.0254 -0.0096 -0.0083  0.0014 -0.0192
  6 36 -0.0126 -0.0312 -0.0228  0.0290 -0.0096 -0.0144 -0.0030 -0.0234
  6 37 -0.0089 -0.0268 -0.0290  0.0318 -0.0071 -0.0224 -0.0050 -0.0245
  6 38 -0.0060 -0.0241 -0.0296  0.0336 -0.0071 -0.0310 -0.0064 -0.0228
